,ID,DDE,Apli_Event,Index,Sow_Area,ModNamProd,Fert_Quant,Unit,Other_uni,Equiv_uni,K2O,Ntotal,Namoniacal,Nnitrico,Nureico,P2O5,Fert,Fert_type,Fert_type2,Qtity_L_ha,Qtity_Kl_ha,Location_1,Location_2,Variety,,,
1435,LG8026,27,2,1,6,Triple 18,8,1,NA,NA,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,8,1,13,20,,,
36,DS4006,50,3,2,5.7,Patentkali,10,1,NA,NA,30,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,10,1,5,1,,,
182,DS4027,10,1,5,9,prixin,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,11,4,,,
1023,ES1072,10,1,3,9,Fertilizante menores,10,1,NA,NA,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,10,1,9,8,,,
1060,ES1075,19,2,4,14.6,Fertiverdor,10,1,NA,NA,11.94,11.94,1.87,1.87,8.21,11.94,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,10,1,9,7,,,
2424,RS3030,25,2,1,28,Nitrosmart,10,1,NA,NA,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,10,1,2,1,,,
2427,RS3030,40,3,1,28,Nitrosmart,10,1,NA,NA,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,10,1,2,1,,,
1254,GV5019,60,5,1,2,Urea,0.5,5,NA,25,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,12.5,1,7,7,,,
1267,GV5021,32,3,2,11,Sulfato de amonio 21-0-0-24,0.5,5,NA,25,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,12.5,1,1,1,,,
1270,GV5021,46,4,2,11,Sulfato de amonio 21-0-0-24,0.5,5,NA,25,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,12.5,1,1,1,,,
1290,LG8002,60,3,2,3,Nitro Xtend XP 46N,0.5,5,NA,25,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,12.5,1,14,3,,,
1670,LG8061,20,1,4,80,Fertilizante menores,0.25,5,NA,50,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,12.5,1,12,7,,,
1674,LG8061,35,2,4,80,Fertilizante menores,0.25,5,NA,50,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,12.5,1,12,7,,,
1751,MR9012,37,2,3,0.25,Cloruro de Potasio,0.25,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,12.5,1,13,8,,,
2416,RS3029,35,3,3,8,Cloruro de Potasio,0.25,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,12.5,1,11,7,,,
2417,RS3029,35,3,4,8,Kieserita,0.25,5,NA,50,0,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,12.5,1,11,7,,,
1668,LG8061,20,1,2,80,Fosforo,0.3125,5,NA,50,0,0,0,0,0,26,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,15.625,1,12,7,,,
1669,LG8061,20,1,3,80,Urea,0.3125,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,15.625,1,12,7,,,
1671,LG8061,20,1,5,80,Potazinc,0.3125,5,NA,50,3,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,15.625,1,12,7,,,
1672,LG8061,35,2,2,80,Fosforo,0.3125,5,NA,50,0,0,0,0,0,26,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,15.625,1,12,7,,,
1673,LG8061,35,2,3,80,Urea,0.3125,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,15.625,1,12,7,,,
1675,LG8061,35,2,5,80,Potazinc,0.3125,5,NA,50,3,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,15.625,1,12,7,,,
34,DS4006,35,2,2,5.7,Nitro Xtend XP 46N,20,1,NA,NA,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,5,1,,,
35,DS4006,50,3,1,5.7,Sulfato de Zinc,20,1,NA,NA,0,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,5,1,,,
176,DS4026,7,1,3,12,Korn-Kali B,0.5,5,NA,40,40,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,8,6,,,
261,DS4037,45,2,2,5,Borozinco,20,1,NA,NA,0,3.45,0.83,2.28,0.35,0,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,20,1,10,1,,,
267,DS4037,85,4,2,5,K-Mag,20,1,NA,NA,24,0,0,0,0,0,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,20,1,10,1,,,
273,DS4038,30,2,3,14,K-Mag,1,5,NA,20,24,0,0,0,0,0,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,20,1,10,8,,,
336,DS4046,12,1,3,8.5,Fertilizante menores,20,1,NA,NA,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,2,8,,,
345,DS4046,55,4,3,8.5,FertiCROP Arroz Desarrollo,1,5,NA,20,17,29,29,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,2,8,,,
453,DS4058,12,1,3,10,dombo  zinc,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,10,1,,,
456,DS4058,24,2,2,10,Zinc,20,1,NA,NA,3,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,10,1,,,
1031,ES1073,10,1,2,10,Fertilizante menores,20,1,NA,NA,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,9,8,,,
1088,ES1077,18,2,4,13,Fertilizante menores,20,1,NA,NA,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,9,1,,,
1101,ES1077,7,1,4,13,Fertilizante menores,20,1,NA,NA,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,9,1,,,
1105,ES1078,15,2,4,5,Fertilizante menores,20,1,NA,NA,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,9,6,,,
1118,ES1078,7,1,4,5,Fertilizante menores,20,1,NA,NA,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,9,6,,,
1215,GV5014,8,1,3,21,Sulfato de amonio 21-0-0-24,20,1,NA,NA,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,5,1,,,
1299,LG8004,15,1,2,32,FertiCROP Arroz Desarrollo,0.4,5,NA,50,17,29,29,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,14,3,,,
1300,LG8004,30,2,1,32,Disan Inicio 12-24-12-4(S),0.4,5,NA,50,12,12,12,0,0,24,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,14,3,,,
2038,NR10010,48,3,1,0.25,Ecofertil Fase 3,0.5,5,NA,40,17,24,0,0,24,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,13,1,,,
2039,NR10010,48,3,2,0.25,Sulfato de amonio 21-0-0-24,0.5,5,NA,40,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,13,1,,,
2040,NR10010,58,4,1,0.25,Sulfato de amonio 21-0-0-24,0.5,5,NA,40,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,13,1,,,
2041,NR10010,58,4,2,0.25,Ecofertil Fase 3,0.5,5,NA,40,17,24,0,0,24,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,13,1,,,
2355,RS3022,0,5,1,4,Potazinc,1,5,NA,20,3,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,7,7,,,
2382,RS3026,20,1,3,20,Fertilizante menores,20,1,NA,NA,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,11,1,,,
2413,RS3029,19,2,4,8,Borozinco,20,1,NA,NA,0,3.45,0.83,2.28,0.35,0,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,20,1,11,7,,,
2491,RS3036,45,3,3,1.5,Triple 15,20,1,bolsa de 20 kilos,20,15,15,10.3,4.7,0,15,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,10,1,,,
2517,RS3039,20,1,4,6,Sakon Zinc,1,5,NA,20,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,15,5,,,
2542,RS3042,30,2,2,5,Hierro-5,20,1,bolsa de 20 kilos,20,0,0,0,0,0,0,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,20,1,10,1,,,
2575,RS3044,42,3,3,18,Sulfato de amonio 21-0-0-24,20,1,NA,NA,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,10,1,,,
2596,RS3046,35,1,5,1.5,CALFOS,20,1,NA,NA,0,0,0,0,0,20,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,10,10,,,
2743,RS3060,35,1,1,20,Fertilizante menores,20,1,bolsa de 20 kilos,1,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,3,5,,,
2747,RS3060,45,2,2,20,Potazinc,20,1,NA,NA,3,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,20,1,3,5,,,
165,DS4026,18,2,3,12,Cloruro de Potasio,0.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,8,6,,,
166,DS4026,18,2,4,12,Fertilizante menores,0.5,5,NA,50,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,8,6,,,
168,DS4026,30,3,2,12,Sulfato de amonio 21-0-0-24,0.5,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,8,6,,,
171,DS4026,44,4,2,12,Sulfato de amonio 21-0-0-24,0.5,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,8,6,,,
177,DS4026,7,1,4,12,Fertilizante menores,0.5,5,NA,50,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,8,6,,,
181,DS4027,10,1,4,9,Patentkali,0.5,5,NA,50,30,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,11,4,,,
