,ID,Fert_event,Triple 18,Urea,Sulfato de Amonio,Ecofertil fase 3,Cloruro de Potasio,YaraVera AMIDAS,NITRO XTENDÂ® 46 N,Patentkali,Fertilizantes menores,Nutrimon,DAP 18-46-0
326,ES1031,3,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
327,ES1031,4,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
328,ES1031,5,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
329,ES1033,1,50,31.25,NA,NA,NA,NA,40,NA,NA,NA,NA
330,ES1033,2,50,50,NA,NA,NA,NA,40,NA,NA,NA,NA
331,ES1033,3,NA,50,50,NA,25,NA,NA,NA,NA,NA,NA
332,ES1033,4,50,75,40,NA,50,NA,NA,NA,NA,NA,NA
333,ES1033,5,NA,NA,NA,NA,50,NA,39,NA,NA,NA,NA
334,ES1034,1,50,50,50,NA,NA,NA,50,NA,NA,NA,NA
335,ES1034,2,75,50,NA,NA,NA,NA,50,NA,NA,NA,NA
336,ES1034,3,NA,50,50,NA,75,NA,NA,NA,NA,NA,NA
